Rating,Name,Symbol,Rating Agency Name,Date,Sector,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,cashPerShare,companyEquityMultiplier,ebitPerRevenue,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover,Year,rating_encoded,currentRatio_sector_ratio,quickRatio_sector_ratio,cashRatio_sector_ratio,daysOfSalesOutstanding_sector_ratio,netProfitMargin_sector_ratio,pretaxProfitMargin_sector_ratio,grossProfitMargin_sector_ratio,operatingProfitMargin_sector_ratio,returnOnAssets_sector_ratio,returnOnEquity_sector_ratio,debtEquityRatio_sector_ratio,debtRatio_sector_ratio,macro_interest_proxy,profit_to_debt_leverage,REAL_MACRO_RATE
A,Whirlpool Corporation,WHR,Egan-Jones Ratings Company,2015-11-27,Consumer Durables,0.945893595,0.426394628,0.099690083,44.20324542,0.037480255,0.049351395,0.176631085,0.061509741,0.041188848,0.091514291,0.165085389,1.098947922,5.535506094,3.008011807,0.750499737,0.20271581,0.43755102,6.810673443,9.809402795,4.008011807,0.049351395,7.05708807,15.56543837,0.058637691,3.906654554,2015,2,0.7685214368971252,0.7370379284167956,0.7630951173427507,1.1115861860759673,0.8108036339763954,0.8416964426487964,0.845548944458927,0.7871072165213617,0.7827186694740682,1.0344292761474363,1.2256272110664332,1.0084299560397616,0.1325,0.0499397318278896,0.1325
BBB,Whirlpool Corporation,WHR,Egan-Jones Ratings Company,2014-02-13,Consumer Durables,1.033559023,0.498233736,0.2031204,38.99115563,0.044062017,0.048857158,0.175715275,0.0665459,0.053203809,0.1048,0.167952884,1.207475553,6.1719829,2.156783103,0.683221822,0.074154853,0.54199683,8.625472888,17.40226986,3.156783103,0.048857158,6.460618222,15.91424968,0.067238532,4.002846054,2014,1,0.8397480114810894,0.8612143224487355,1.554820507800224,0.9805169182857294,0.9531857108210634,0.833267146481476,0.8411648793391044,0.8515522463329652,1.0110410126409084,1.0523970732685153,0.8787904532999388,0.9180301044194314,0.08916666666666667,0.0644905807680603,0.08916666666666667
BBB,Whirlpool Corporation,WHR,Fitch Ratings,2015-03-06,Consumer Durables,0.963703439,0.451505415,0.12209925,50.84138486,0.03270934,0.044333736,0.170843398,0.059782609,0.03249675,0.075954824,0.133060389,0.99350065,4.991710625,3.09457523,0.755774423,0.214528944,0.513184584,9.69348659,13.10344828,4.09457523,0.044333736,10.49197025,18.88888889,0.074426329,3.483509514,2015,1,0.7829916130079948,0.7804427961521261,0.9346299922953406,1.2785165558404337,0.7075952854901727,0.7561194142643968,0.8178427644640035,0.7650060332130956,0.6175412558814809,0.8337598058248893,1.2608978461300853,1.0155174353670242,0.1325,0.0432786638684137,0.1325
BBB,Whirlpool Corporation,WHR,Fitch Ratings,2012-06-15,Consumer Durables,1.019850723,0.510401779,0.176115611,41.16173792,0.020893603,-0.012857602,0.138058502,0.042430087,0.025690007,-0.027014858,0.09327912,1.22956327,6.017408124,2.630949534,0.724589948,1.816666667,-0.147169811,-1.015625,14.44010417,3.630949534,-0.012857602,4.080740741,6.901041667,0.028393871,4.581150342,2012,1,0.8286102656827188,0.8822472075197139,1.3481076431838783,1.0351009033841054,0.4519875662334773,-0.2192885908168158,0.6608985085478056,0.5429551016208833,0.4881915633527672,0.5844893552709856,1.071991583380428,0.9736155435967768,0.14,0.028834673612204,0.14
BBB,Whirlpool Corporation,WHR,Standard & Poor's Ratings Services,2016-10-24,Consumer Durables,0.957843905,0.495432002,0.141607935,47.76112559,0.04286128,0.053769669,0.177719857,0.065353799,0.046363494,0.096945436,0.186046512,1.081710437,5.437795276,3.012780222,0.75079622,0.166965889,0.451371571,7.135348226,14.25755585,4.012780222,0.053769669,8.293504729,15.80814717,0.05806545,3.857789855,2016,1,0.7782308476184929,0.8563714278911266,1.0839626221947234,1.2010567760995725,0.9272103826636132,0.9170508578268814,0.8507609942821869,0.8362975682174724,0.8810533456980624,1.1657722097860237,1.2275701220497135,1.008828333712553,0.395,0.0570870070841981,0.395
AA,Schlumberger N.V.,SLB,Egan-Jones Ratings Company,2014-07-18,Energy,1.741958239,1.317155756,0.220795711,83.93196789,0.11193907,0.15724578,0.230177028,0.15724578,0.081280641,0.144875588,0.143672391,0.72611503,3.15536503,0.767608983,0.43426402,0.252389056,0.644841447,5.574517375,5.792277992,1.767608983,0.15724578,9.83329498,8.644787645,0.230444627,4.044776119,2014,2,1.331110004119468,1.4278495643027127,0.8662398083783829,1.9916771611459116,1.958089658633689,2.1136898311289234,0.2663009852714709,1.8862607503329196,2.1246986466929143,1.4284945386670294,0.5878532325495778,0.7578575389790263,0.08916666666666667,0.2577613784034329,0.08916666666666667
AA,Schlumberger N.V.,SLB,Egan-Jones Ratings Company,2014-05-13,Energy,1.939001848,1.468909427,0.256709797,92.70545222,0.148720894,0.151173066,0.219480405,0.148720894,0.100327869,0.127727485,0.17056424,0.674605067,2.99854266,0.700068408,0.411788376,0.270056993,0.597159787,4.417989418,6.326530612,1.700068408,0.151173066,12.14037603,7.398337113,0.216232934,3.99807627,2014,2,1.4816800426631445,1.5923566182571482,1.0071402399756468,2.199868971763692,2.6014942286384635,2.0320607163179933,0.2539256354430011,1.78399945045662,2.622598503989209,1.6958726978511305,0.5361290523727973,0.7186340816711686,0.08916666666666667,0.3611497826790846,0.08916666666666667
A,Schlumberger N.V.,SLB,Egan-Jones Ratings Company,2015-07-23,Energy,1.905814036,1.544791445,0.197790525,90.33685694,0.058407329,0.081212121,0.201663143,0.081212121,0.030468348,0.053466706,0.058148346,0.52165282,2.644427879,0.908483709,0.476023822,0.258937869,0.72629188,5.047355959,10.28729282,1.908483709,0.081212121,15.26456244,6.949486977,0.24820296,3.665199948,2015,2,1.4563197168074589,1.6746157632718175,0.7759843961600311,2.1436630082700607,1.0216878423531262,1.0916492278655217,0.2333121343188145,0.9741898084233984,0.7964511225073724,0.5781527968969403,0.6957384513233086,0.8307348194223185,0.1325,0.1226957545886309,0.1325
AA,Honeywell International Inc.,HON,Egan-Jones Ratings Company,2014-04-29,Capital Goods,1.492419434,1.129821592,0.45285946,74.10280374,0.100473691,0.138573806,0.273742158,0.138573806,0.086365137,0.173161835,0.224652201,0.859579619,7.399583175,1.601190817,0.615560691,0.267923134,0.781545559,4.308240081,10.29120041,2.601190817,0.138573806,10.89799844,5.512461851,0.110997311,5.482025512,2014,2,0.8166535096729636,0.9901842756176878,1.120819460135871,1.520212044742399,1.711761342996533,1.8464071545199543,1.1013353680612743,1.5102163597701486,1.5173933162097353,1.4409262705423305,0.9049092544482346,0.9308057354843476,0.08916666666666667,0.16322039445507,0.08916666666666667
A,Honeywell International Inc.,HON,Moody's Investors Service,2016-02-16,Capital Goods,1.091557346,0.850960753,0.296935387,76.39446878,0.123584148,0.170705788,0.306731293,0.170705788,0.096682618,0.212829213,0.260788711,0.782322167,6.664536189,1.697369141,0.629268392,0.264044944,0.80326366,5.618107207,9.692228777,2.697369141,0.170705788,10.36290293,6.994101052,0.141364921,4.793369176,2016,2,0.5973013465999971,0.7457885056850525,0.7349100318067241,1.567225337364181,2.105492144740281,2.274545221635657,1.2340591742981202,1.8603997478791532,1.6986664230829511,1.6727069802479777,0.9592642098607228,0.9515335156978254,0.395,0.1963902615616905,0.395
